,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,ac,rain,sun,refill_liters,refill_gas,consumo_abs,CO2,CO2_km,speed_range,temp_o_range
85,12.3,6.2,58,20,11,Rain,SP98,0,1,0,,,0.7626000000000001,1753.98,142.6,"(30, 60]","(10, 15]"
86,13.2,4.3,51,20,11,Rain,SP98,0,1,0,,,0.5676,1305.48,98.9,"(30, 60]","(10, 15]"
87,13.0,5.0,45,20,11,Rain,SP98,0,1,0,,,0.65,1495.0,115.0,"(30, 60]","(10, 15]"
88,12.9,5.1,32,20,11,Otro,SP98,0,0,0,,,0.6578999999999999,1513.1699999999998,117.29999999999998,"(30, 60]","(10, 15]"
89,13.9,5.6,22,20,8,Otro,SP98,0,0,0,,,0.7784,1790.32,128.79999999999998,"(0, 30]","(5, 10]"
90,11.8,4.3,37,20,6,Otro,SP98,0,0,0,,,0.5074000000000001,1167.0200000000002,98.9,"(30, 60]","(5, 10]"
91,12.2,5.8,60,20,11,Otro,SP98,0,0,0,,,0.7075999999999999,1627.4799999999998,133.39999999999998,"(30, 60]","(10, 15]"
92,12.5,4.0,51,20,13,Otro,SP98,0,0,0,,,0.5,1150.0,92.0,"(30, 60]","(10, 15]"
93,12.4,4.7,43,,10,Otro,SP98,0,0,0,,,0.5828,1340.44,108.1,"(30, 60]","(5, 10]"
94,11.8,5.9,21,20,9,AC Rain,SP98,1,1,0,,,0.6962,1601.26,135.7,"(0, 30]","(5, 10]"
95,11.8,5.3,52,,11,Otro,SP98,0,0,0,,,0.6254,1438.4199999999998,121.89999999999998,"(30, 60]","(10, 15]"
96,12.5,4.2,57,20,11,Otro,SP98,0,0,0,,,0.525,1207.5,96.6,"(30, 60]","(10, 15]"
97,15.7,5.3,33,,9,Otro,SP98,0,0,0,,,0.8321,1913.83,121.9,"(30, 60]","(5, 10]"
98,12.9,5.7,35,,9,Otro,SP98,0,0,0,,,0.7353000000000001,1691.19,131.1,"(30, 60]","(5, 10]"
99,6.4,4.4,37,,10,Otro,SP98,0,0,0,,,0.2816,647.6800000000001,101.2,"(30, 60]","(5, 10]"
100,5.3,4.1,34,,9,Otro,SP98,0,0,0,,,0.21729999999999997,499.7899999999999,94.29999999999998,"(30, 60]","(5, 10]"
101,26.2,5.8,71,21,8,AC Rain,SP98,1,1,0,,,1.5195999999999998,3495.0799999999995,133.39999999999998,"(60, 90]","(5, 10]"
102,18.8,5.0,62,,9,Rain,SP98,0,1,0,,,0.94,2162.0,115.0,"(60, 90]","(5, 10]"
103,4.9,6.9,25,21,12,Rain,SP98,0,1,0,,,0.3381,777.63,158.7,"(0, 30]","(10, 15]"
104,12.4,5.4,18,21,11,AC Rain,SP98,1,1,0,,,0.6696000000000001,1540.0800000000002,124.2,"(0, 30]","(10, 15]"
